,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list
68,B1-REF,6,1,rdp,0.3,0.6976127320954907,0.0,0.026525198938992044,0.27586206896551724,"[0, 0, 0, 0, 3, 32, 79, 263]"
69,B1-REF,6,1,rdp,0.4,0.6816976127320955,0.0,0.06631299734748011,0.2519893899204244,"[0, 0, 1, 0, 3, 33, 83, 257]"
70,B1-REF,6,1,rdp,0.5,0.6710875331564987,0.0,0.09283819628647215,0.23607427055702918,"[0, 0, 1, 0, 3, 35, 85, 253]"
71,B1-REF,6,1,rdp,0.6,0.6419098143236074,0.0,0.16180371352785147,0.1962864721485411,"[0, 0, 1, 1, 5, 40, 88, 242]"
72,B1-REF,6,1,rdp,0.7,0.596816976127321,0.0,0.23872679045092837,0.16445623342175067,"[0, 0, 1, 1, 6, 49, 95, 225]"
73,B1-REF,6,1,rdp,0.8,0.5517241379310345,0.0,0.33156498673740054,0.11671087533156499,"[0, 0, 1, 1, 9, 60, 98, 208]"
74,B1-REF,6,1,rdp,0.9,0.4986737400530504,0.0,0.4244031830238727,0.07692307692307693,"[0, 1, 1, 1, 9, 73, 104, 188]"
75,B1-REF,6,1,rdp,1.0,0.2891246684350133,0.0,0.6843501326259946,0.026525198938992044,"[1, 3, 3, 15, 34, 113, 99, 109]"
76,B1-REF,6,1,sortmerna,0.51:0.8:1:0.8:1.0,0.6923076923076923,0.0,0.0,0.3076923076923077,"[0, 0, 0, 2, 3, 27, 84, 261]"
77,B1-REF,6,1,sortmerna,0.51:0.8:1:0.9:1.0,0.6923076923076923,0.0,0.0,0.3076923076923077,"[0, 0, 0, 2, 3, 27, 84, 261]"
78,B1-REF,6,1,sortmerna,0.51:0.8:3:0.8:1.0,0.5119363395225465,0.0,0.28116710875331563,0.20689655172413793,"[0, 0, 0, 4, 5, 56, 119, 193]"
79,B1-REF,6,1,sortmerna,0.51:0.8:3:0.9:1.0,0.5119363395225465,0.0,0.28116710875331563,0.20689655172413793,"[0, 0, 0, 4, 5, 56, 119, 193]"
80,B1-REF,6,1,sortmerna,0.51:0.8:5:0.8:1.0,0.4880636604774536,0.0,0.3209549071618037,0.1909814323607427,"[0, 0, 0, 5, 8, 59, 121, 184]"
81,B1-REF,6,1,sortmerna,0.51:0.8:5:0.9:1.0,0.4880636604774536,0.0,0.3209549071618037,0.1909814323607427,"[0, 0, 0, 5, 8, 59, 121, 184]"
82,B1-REF,6,1,sortmerna,0.51:0.9:1:0.8:1.0,0.6923076923076923,0.0,0.002652519893899204,0.3050397877984085,"[1, 0, 0, 1, 3, 27, 84, 261]"
83,B1-REF,6,1,sortmerna,0.51:0.9:1:0.9:1.0,0.6923076923076923,0.0,0.002652519893899204,0.3050397877984085,"[1, 0, 0, 1, 3, 27, 84, 261]"
84,B1-REF,6,1,sortmerna,0.51:0.9:3:0.8:1.0,0.5225464190981433,0.0,0.27320954907161804,0.20424403183023873,"[1, 0, 0, 2, 4, 55, 118, 197]"
85,B1-REF,6,1,sortmerna,0.51:0.9:3:0.9:1.0,0.5225464190981433,0.0,0.27320954907161804,0.20424403183023873,"[1, 0, 0, 2, 4, 55, 118, 197]"
