,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list
78,B1-REF,1,1,sortmerna,0.51:0.8:3:0.8:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
79,B1-REF,1,1,sortmerna,0.51:0.8:3:0.9:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
80,B1-REF,1,1,sortmerna,0.51:0.8:5:0.8:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
81,B1-REF,1,1,sortmerna,0.51:0.8:5:0.9:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
82,B1-REF,1,1,sortmerna,0.51:0.9:1:0.8:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
83,B1-REF,1,1,sortmerna,0.51:0.9:1:0.9:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
84,B1-REF,1,1,sortmerna,0.51:0.9:3:0.8:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
85,B1-REF,1,1,sortmerna,0.51:0.9:3:0.9:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
86,B1-REF,1,1,sortmerna,0.51:0.9:5:0.8:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
87,B1-REF,1,1,sortmerna,0.51:0.9:5:0.9:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
88,B1-REF,1,1,sortmerna,0.76:0.8:1:0.8:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
89,B1-REF,1,1,sortmerna,0.76:0.8:1:0.9:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
90,B1-REF,1,1,sortmerna,0.76:0.8:3:0.8:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
91,B1-REF,1,1,sortmerna,0.76:0.8:3:0.9:1.0,0.0,0.7777777777777778,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
92,B1-REF,1,1,sortmerna,0.76:0.8:5:0.8:1.0,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
93,B1-REF,1,1,sortmerna,0.76:0.8:5:0.9:1.0,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.0,"[2, 7, 0, 0, 0, 0, 0, 0]"
94,B1-REF,1,1,sortmerna,0.76:0.9:1:0.8:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
95,B1-REF,1,1,sortmerna,0.76:0.9:1:0.9:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
96,B1-REF,1,1,sortmerna,0.76:0.9:3:0.8:1.0,0.0,0.0,1.0,0.0,"[9, 0, 0, 0, 0, 0, 0, 0]"
